Response ID,Date submitted,Last page,Start language,What is your profession- [Biologist],What is your profession- [Chemist],What is your profession- [Biochemist],What is your profession- [Pharmacologist],What is your profession- [Pathologist],What is your profession- [Medical scientist],What is your profession- [Medical doctor],What is your profession- [Toxicologist / Forensic scientist],What is your profession- [Technical assistant],What is your profession- [Engineer/ Physicist],What is your profession- [Bioinformatician],What is your profession- [Mathematician/ Statistician],What is your profession- [Student],What is your profession- [Other],What is your field of use for MALDI imaging- [Small molecules],What is your field of use for MALDI imaging- [Lipidomics],What is your field of use for MALDI imaging- [Metabolomics],What is your field of use for MALDI imaging- [Proteomics],What is your field of use for MALDI imaging- [Pharmaceutical research],What is your field of use for MALDI imaging- [Biomarkers and diagnostics],What is your field of use for MALDI imaging- [Pathology and molecular histology],What is your field of use for MALDI imaging- [Forensics and toxicology],What is your field of use for MALDI imaging- [Polymer research],What is your field of use for MALDI imaging- [Plant research],What is your field of use for MALDI imaging- [Microbiology],What is your field of use for MALDI imaging- [Methodology],What is your field of use for MALDI imaging- [Bioinformatics],What is your field of use for MALDI imaging- [MALDI-imaging services],What is your field of use for MALDI imaging- [Instrumentation],What is your field of use for MALDI imaging- [Other],Which ionization techniques do you use in your lab for mass spectrometry imaging- [MALDI (Matrix-assisted laser desorption/ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [DESI (Desorption electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [SIMS (Secondary ion mass spectrometry)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [LAESI (Laser ablation electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [Other],"Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), linear mode]","Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), reflector mode]",Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Q-ToF (Quadrupole time of flight)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-ICR (Fourier transform ion cyclotron resonance)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-Orbitrap],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Other],How many/ which mass spectrometers do you have in your lab for performing MS imaging experiments-,How many MS imaging data sets are acquired in your lab on average-,How many MS imaging data sets are acquired in your lab on average- [Other],"How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) -","How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) - [Other]",What impact do you expect METASPACE to have on the work in your lab/ industry-,"Which features, functions, or performance characteristics would increase the impact of METASPACE on the work in your lab/ industry- Which processing constraints are valid for you (e.g. runtime, size of data)-",What would be the preferable way of running the software- [Online in a cloud/ community server],What would be the preferable way of running the software- [Local cluster/ server],What would be the preferable way of running the software- [Workstation],What would be the preferable way of running the software- [Desktop PC],What would be the preferable way of running the software- [Laptop],What would be the preferable way of running the software- [Other],Which types / formats of input data are necessary- [imzML format],Which types / formats of input data are necessary- [SCiLS Lab format],Which types / formats of input data are necessary- [Other MS imaging software format],Which types / formats of input data are necessary- [Bruker raw data],Which types / formats of input data are necessary- [Shimadzu raw data],Which types / formats of input data are necessary- [Sciex raw data],Which types / formats of input data are necessary- [Thermo Fisher Scientific raw data],Which types / formats of input data are necessary- [Waters raw data],Which types / formats of input data are necessary- [Other mass spec vendor's raw data],Which types / formats of input data are necessary- [Other],Which types of output should be provided- [Interactive web browser],Which types of output should be provided- [Integration within SCiLS Lab],Which types of output should be provided- [PDF report],Which types of output should be provided- [List of molecules],Which types of output should be provided- [Images],Which types of output should be provided- [Other],How important would be for you the sustainability of the engine-,How important would be for you customization services-,How important would be for you maintenance and support-,If you have any further comments or general remarks please leave them here:
24,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,,,,,,Very high impact,"Peak picking, spatial filters, and spectral filters would have a great impact on improving the overall performance. 
The current limitations are generally related to the computational time and memory constraints. ",Yes,Yes,No,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"crucial, ready to pay for it",I don't know,"crucial, ready to pay for it",
23,,1,en,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,No,No,No,,No,Yes,Yes,No,No,,,1-2 data sets / day,,Less than 1 data set / week,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
30,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,No,,4,1-2 data sets / day,,1-2 data sets / week,,Unsure,"runtime, size of data, automation, validity of annotation = workload required for metabolite verification",No,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,Yes,Yes,No,No,,I don't know,I don't know,I don't know,I do not know the system yet. 
21,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,"1x Bruker Autoflex
1x Bruker UltrafleXtreme
3x Bruker SolariX XR (9.4T, 12T, 15T)",3-5 data sets / week,,3-5 data sets / week,,Unsure,-,Yes,No,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,,,,-
22,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
18,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
19,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,,Yes,No,No,No,,No,No,No,No,Yes,,1 AP-MALDI-Orbitrap,3-5 data sets / week,,3-5 data sets / week,,Very high impact,,No,Yes,Yes,No,No,,Yes,Yes,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
20,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,No,No,No,No,PhD student,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,,Yes,No,No,No,,Yes,Yes,No,No,No,,ultrafleXtreme (Bruker),Less than 1 data set / week,,,,Unsure,"Identification of unknown substances (just by m/z additional ms/ms often necessary for pharma), short runtime/automatization",No,Yes,Yes,Yes,Yes,,No,Yes,No,Yes,No,No,Yes,No,No,,No,Yes,Yes,Yes,Yes,,I don't know,"important, but not to the level to pay for it","crucial, ready to pay for it",
15,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,,1-2 data sets / week,,,,Unsure,,Yes,No,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"crucial, ready to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
26,,1,en,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,No,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
