Response ID,Date submitted,Last page,Start language,What is your profession? [Biologist],What is your profession? [Chemist],What is your profession? [Biochemist],What is your profession? [Pharmacologist],What is your profession? [Pathologist],What is your profession? [Medical scientist],What is your profession? [Medical doctor],What is your profession? [Toxicologist / Forensic scientist],What is your profession? [Technical assistant],What is your profession? [Engineer/ Physicist],What is your profession? [Bioinformatician],What is your profession? [Mathematician/ Statistician],What is your profession? [Student],What is your profession? [Other],What is your field of use for MALDI imaging? [Small molecules],What is your field of use for MALDI imaging? [Lipidomics],What is your field of use for MALDI imaging? [Metabolomics],What is your field of use for MALDI imaging? [Proteomics],What is your field of use for MALDI imaging? [Pharmaceutical research],What is your field of use for MALDI imaging? [Biomarkers and diagnostics],What is your field of use for MALDI imaging? [Pathology and molecular histology],What is your field of use for MALDI imaging? [Forensics and toxicology],What is your field of use for MALDI imaging? [Polymer research],What is your field of use for MALDI imaging? [Plant research],What is your field of use for MALDI imaging? [Microbiology],What is your field of use for MALDI imaging? [Methodology],What is your field of use for MALDI imaging? [Bioinformatics],What is your field of use for MALDI imaging? [MALDI-imaging services],What is your field of use for MALDI imaging? [Instrumentation],What is your field of use for MALDI imaging? [Other],Which ionization techniques do you use in your lab for mass spectrometry imaging? [MALDI (Matrix-assisted laser desorption/ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [DESI (Desorption electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [SIMS (Secondary ion mass spectrometry)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [LAESI (Laser ablation electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [Other],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [ToF (Time of flight) -  linear mode],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [ToF (Time of flight) -  reflector mode],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [Q-ToF (Quadrupole time of flight)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [FT-ICR (Fourier transform ion cyclotron resonance)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [FT-Orbitrap],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [Other],How many mass spectrometers do you have in your lab for performing MS imaging experiments?,Which mass spectrometers do you have in your lab for performing MS imaging experiments?,How many MS imaging data sets are acquired in your lab on average?,How many MS imaging data sets are acquired in your lab on average? [Other],How many of these data sets are high-resolution MS imaging data sets (QToF -  FT-ICR -  FT-Orbitrap -  other) ?,How many of these data sets are high-resolution MS imaging data sets (QToF -  FT-ICR -  FT-Orbitrap -  other) ? [Other],If you have any further comments or general remarks please leave them here:
7,1980-01-01 00:00:00,1,en,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,0,,Less than 1 data set / week,,,,
8,1980-01-01 00:00:00,1,en,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,Yes,No,Yes,Yes,LESA,No,No,No,Yes,Yes,,1,,1-2 data sets / day,,1-2 data sets / day,,
9,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,Yes,No,No,No,,No,No,No,No,Yes,,1,,1-2 data sets / week,,1-2 data sets / week,,
10,1980-01-01 00:00:00,1,en,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,1,Autoflex III,,,,,
12,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,No,No,Yes,No,,2,Bruker Solarix 7T,3-5 data sets / day,,More than 5 data sets / day,,
13,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,Ultraflextreme Bruker MALDI TOF/TOF ,1-2 data sets / day,,,,
14,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,MALDI-TOF/TOF (Bruker ultrafleXtreme),1-2 data sets / week,,Other,None,
15,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,LESA,No,Yes,No,No,No,Q-Trap,5,Maldi-ToF Rapiflex Bruker \t  Maldi-ToF Synapt Waters G2 \t  LESA-QTrap 5500 AbSciex \t  DESI-Q-exactive Thermo \t  DESI-Q-trap XEVO waters,3-5 data sets / day,,3-5 data sets / day,,
16,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,2,UltrafleXtreme Bruker Daltonics\t Autoflex Speed - Bruker Daltonics \t FT-ICR Solarix  XR - Bruker Daltonics,3-5 data sets / week,,1-2 data sets / week,,
17,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,No,No,No,No,,1,Sciex 4800,Less than 1 data set / week,,Less than 1 data set / week,,We hope to buy a new MALDI-MSI system next year
